;Produit;Prix 1;Prix 2;Prix 3;Prix 4;Prix 5;Prix 6;Prix 7;Prix 8;Prix 9;Prix 10;Prix 11;Prix 12
5798; CERISE rouge France cat.I +24mm plateau (le kg) ; 2.52;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 5.83
5799; CERISE rouge France cat.I +26mm plateau (le kg) ; 3.71; 3.83;  ;  ;  ;  ;  ;  ;  ;  ;  ; 8.96
5800; CERISE rouge France cat.I +28mm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 11.00
5801; CERISE rouge France cat.I +30mm plateau (le kg) ; 6.45; 6.00;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5802; CERISE rouge Turquie cat.I +26mm plateau (le kg) ;  ; 4.08;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5803; CERISE Chili cat.I +24mm (le kg) ;  ;  ;  ;  ;  ;  ; 11.00; 10.50;  ;  ;  ;  
5804; CERISE Chili cat.I +28mm (le kg) ;  ;  ;  ;  ;  ;  ; 16.40; 16.00;  ;  ;  ;  
5805; CERISE rouge France biologique (le kg) ; 7.78; 7.06;  ;  ;  ;  ;  ;  ;  ;  ;  ; 10.70
5806; CERISE rouge U.E. biologique (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 9.40
5807; CERISE rouge France cat.I +24mm (le kg) ; 5.43; 5.72;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5808; CERISE Burlat Espagne cat.I +26mm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 5.00
5809; CERISE rouge France cat.I +28mm plateau (le kg) ; 7.50;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5810; CERISE rouge France biologique (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 18.58
5811; CERISE rouge France -26mm vrac (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 12.47
5812; CERISE rouge France barq. (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 14.54
5813; CERISE rouge France biologique (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 19.64
5814; GRENADE (le kg) ;  ;  ;  ; 1.80; 1.80;  ;  ;  ;  ;  ;  ;  
5815; GRENADE Méditerranée biologique (le kg) ;  ;  ;  ;  ; 4.22; 3.64;  ;  ;  ;  ;  ;  
5816; GRENADE Espagne biologique (le kg) ;  ;  ;  ; 2.91; 2.11; 1.96; 2.03; 2.38;  ;  ;  ;  
