;Produit;Prix moyen;Variation;Prix min;Prix max
1042; POIRE Conférence IGP Savoie cat.I 70-75mm plateau 1rg ;1.57; =;  ;  
1043; POIRE Passe-crassane IGP Savoie queue cirée cat.I 75-80mm plateau 1rg ;1.77; =; 1.70; 1.80
1044; POIRE Passe-crassane IGP Savoie queue cirée cat.I 80-85mm plateau 1rg ;1.85; =; 1.75; 1.90
1045; POIRE Conférence France biologique ;2.30;  ;  ;  
1046; POIRE Conférence France cat.I 60-65mm plateau 1rg ;1.23; =; 1.10; 1.40
1047; POIRE Conférence France cat.I 65-70mm plateau 1rg ;1.52; =; 1.30; 1.60
1048; POIRE Conférence France cat.I 70-75mm plateau 1rg ;1.55; =; 1.30; 1.70
1049; POIRE Passe-crassane France queue cirée cat.I 75-80mm plateau 1rg ;1.73; =;  ;  
1050; POIRE Passe-crassane France queue cirée cat.I 80-85mm plateau 1rg ;1.75; =;  ;  
1051; POIRE autres variétés France biologique ;3.15; +0.04; 2.44; 4.59
1052; POIRE Conférence France biologique ;2.93; +0.29; 2.79; 3.62
1053; POIRE toutes variétés Import biologique ;3.10; +0.53; 2.70; 3.29
1054; POIRE toutes variétés U.E. biologique ;2.63; +0.01; 1.74; 3.62
1055; POIRE Abate Fétel Italie cat.I 60-65mm plateau 1rg ;1.40; =; 1.30; 1.40
1056; POIRE Abate Fétel Italie cat.I 65-70mm plateau 1rg ;1.65; =; 1.50; 1.90
1057; POIRE Abate Fétel Italie cat.I 70-75mm plateau 1rg ;2.05; =; 1.90; 2.20
1058; POIRE Abate Fétel Italie cat.I 75-80mm plateau 1rg ;2.35; =; 2.20; 2.40
1059; POIRE Williams Afrique du sud cat.I colis de 60 ;1.50; =;  ;  
1060; POIRE Williams Afrique du sud cat.I colis de 70 ;1.40; =;  ;  
1061; POIRE Williams Afrique du sud cat.I colis de 80 ;1.30; =; 1.20; 1.30
1062; POIRE Williams Argentine cat.I colis de 100 ;1.50; =;  ;  
1063; POIRE Williams Argentine cat.I colis de 110 ;1.30; =;  ;  
1064; POIRE Williams Argentine cat.I colis de 90 ;1.60; =;  ;  
1065; POIRE Abate Fétel Italie cat.I 65-70mm plateau 1rg ;2.30; +0.05; 1.97; 2.50
1066; POIRE Doyenne du comice France cat.I 80-85mm plateau 1rg ;2.35; =;  ;  
1067; POIRE Doyenne du comice Italie cat.I 75-80mm plateau 1rg ;2.30; =; 2.20; 2.40
1068; POIRE Passe-crassane France cat.I 70-75mm plateau 1rg ;2.35; =; 2.10; 2.48
1069; POIRE Rochas Portugal cat.I 65-70mm plateau 1rg ;1.50; =; 1.30; 1.65
1070; POIRE Abate Fétel Italie cat.I 70-75mm plateau 1rg ;2.40; =; 2.30; 2.60
1071; POIRE Abate Fétel Italie cat.I 65-70mm plateau 1rg ;1.75; +0.10;  ;  
1072; POIRE Abate Fétel Italie cat.I 70-75mm plateau 1rg ;2.15; =; 2.00; 2.20
1073; POIRE Abate Fétel Italie cat.I 75-80mm plateau 1rg ;2.40; +0.05;  ;  
1074; POIRE Rochas Portugal cat.I 65-70mm plateau 1rg ;1.55; -0.05; 1.50; 1.70
1075; POIRE Conférence Pays-Bas cat.I 55-65mm caisse ;0.93; =; 0.90; 0.95
1076; POIRE Conférence Pays-Bas cat.I 60-65mm caisse ;1.00; =; 0.95; 1.05
1077; POIRE Conférence Pays-Bas cat.I 60-65mm plateau 1rg ;1.25; =; 1.20; 1.30
1078; POIRE Conférence Pays-Bas cat.I 65-70mm plateau 1rg ;1.40; =; 1.30; 1.45
1079; POIRE Conférence Pays-Bas cat.I 70-75mm plateau 1rg ;1.60; =; 1.50; 1.70
1080; POIRE Doyenne du comice Afrique du sud cat.I 75-80mm plateau 1rg ;3.20; =; 3.20; 3.30
1081; POIRE Doyenne du comice France cat.I 70-75mm plateau 1rg ;1.60; =; 1.40; 1.80
1082; POIRE Doyenne du comice France cat.I 75-80mm plateau 1rg ;1.90; =; 1.80; 2.00
1083; POIRE Doyenne du comice Pays-Bas cat.I 70-75mm plateau 1rg ;1.45; =; 1.40; 1.50
1084; POIRE Doyenne du comice Pays-Bas cat.I 75-80mm plateau 1rg ;1.80; =; 1.70; 1.85
1085; POIRE Doyenne du comice Pays-Bas cat.I 80 + plateau 1rg ;1.85; =; 1.80; 1.90
1086; POIRE Passe-crassane France cat.I 75-80mm plateau 1rg ;2.05; =; 2.00; 2.10
1087; POIRE Williams Afrique du sud cat.I colis de 60 ;2.20; =; 2.20; 2.30
1088; POIRE Williams Afrique du sud cat.I colis de 70-80 ;1.45; =; 1.45; 1.50
1089; POIRE autres variétés France biologique ;3.11; =;  ;  
1090; POIRE toutes variétés U.E. biologique ;2.52; -0.02; 1.95; 2.95
1091; POIRE Abate Fétel U.E. cat.I 65-70mm plateau 1rg ;2.25; -0.05; 1.80; 2.50
1092; POIRE Doyenne du comice France cat.I 70-75mm plateau ;2.65; -0.05; 2.40; 2.80
1093; POIRE Conférence France cat.I 65-70mm plateau 1rg ;1.80; =; 1.60; 2.00
1094; POIRE Conférence Pays-Bas cat.I 65-70mm plateau 1rg ;1.40; =; 1.30; 1.50
1095; POIRE Williams Afrique du sud cat.I colis de 60 ;1.30; =; 1.20; 1.50
1096; POIRE Williams Argentine cat.I colis de 80 ;1.55; =; 1.50; 1.60
1097; POIRE autres variétés France biologique ;2.89; +0.11; 2.44; 3.20
1098; POIRE Conférence France biologique ;2.79; +0.35;  ;  
1099; POIRE toutes variétés Import biologique ;3.13; +0.75;  ;  
1100; POIRE toutes variétés U.E. biologique ;2.45; -0.01; 2.13; 2.60
1101; POIRE Abate Fétel U.E. cat.I 65-70mm plateau ;2.14; =; 1.60; 2.90
1102; POIRE Abate Fétel Italie cat.I 65-70mm plateau 1rg ;1.90; =; 1.80; 2.00
1103; POIRE Abate Fétel Italie cat.I 70-75mm plateau 1rg ;2.00; =; 1.90; 2.10
1104; POIRE Abate Fétel Italie cat.I 75-80mm plateau 1rg ;2.25; =; 2.10; 2.40
1105; POIRE Abate Fétel Italie cat.I 80-85mm plateau 1rg ;2.35; =; 2.20; 2.50
1106; POIRE Packham's Afrique du sud cat.I colis 12,5kg (les 12,5kg) ;17.00; =; 16.00; 18.00
1107; POIRE Williams Afrique du sud cat.I colis 12,5kg (les 12,5kg) ;15.25; -2.00; 14.00; 16.50
1108; POIRE Williams Italie cat.I 70-75mm plateau 1rg ;1.90; =; 1.80; 2.00
1109; POIRE Williams Italie cat.I 75-80mm plateau 1rg ;2.10; =; 2.00; 2.20
1110; POIRE Abate Fétel Italie cat.I 70-75mm plateau 1rg ;1.00; =;  ;  
1111; POIRE Conférence Italie cat.I 65-70mm plateau 1rg ;1.80; =;  ;  
1112; POIRE Doyenne du comice Italie cat.I 75-80mm plateau 1rg ;3.00; =;  ;  
1113; POIRE Kayser Italie cat.I 70-75mm plateau 1rg ;2.20; =;  ;  
1114; POIRE Williams Italie cat.I 70-75mm plateau 1rg ;1.00; =;  ;  
1115; POIRE Abate Fétel Italie cat.I 70-75mm plateau 1rg ;1.95; =; 1.90; 2.00
1116; POIRE Abate Fétel Italie cat.I 75-80mm plateau 1rg ;2.10; =; 2.00; 2.20
1117; POIRE Williams Afrique du sud cat.I colis 12,5kg (les 12,5kg) ;15.00; -0.50; 14.00; 16.00
1118; POIRE Williams Italie cat.I 70-75mm caisse ;1.90; +0.05; 1.80; 2.00
1119; POIRE Williams Italie cat.I 75-80mm caisse ;2.05; +0.10; 2.00; 2.10
1120; POIRE toutes variétés France biologique ;4.09; +0.01; 2.60; 5.10
1121; POIRE Abate Fétel hors Fr. vrac ;2.88; -0.11; 1.75; 3.49
1122; POIRE Conférence France vrac ;2.78; +0.13; 2.20; 3.20
1123; POIRE Conférence hors Fr. vrac ;2.47; +0.10; 1.99; 2.99
1124; POIRE Doyenne du comice France vrac ;2.92; -0.07; 2.30; 3.29
1125; POIRE Doyenne du comice hors Fr. vrac ;3.00; +0.03; 2.29; 3.29
1126; POIRE France biologique cdt 4 (le cdt 4) ;2.97; -0.06; 2.49; 3.60
1127; POIRE hors Fr. biologique cdt 4 (le cdt 4) ;3.10; -0.06; 2.59; 3.49
1128; POIRE Rochas hors Fr. vrac ;2.62; +0.10; 1.99; 2.99
1129; POIRE Williams verte hors Fr. vrac ;2.97; +0.10; 2.50; 3.29
1130; CHAMPIGNON DE PARIS France biologique ;7.31; -0.05; 5.50; 9.40
1131; CHAMPIGNON DE PARIS Pays-Bas pied coupé cat.I plateau ;2.30; =;  ;  
1132; CHAMPIGNON DE PARIS Pologne pied coupé cat.I plateau ;2.10; =; 2.00; 2.20
1133; CHAMPIGNON DE PARIS Europe de l'est cat.I gros plateau 2kg ;2.70; =; 2.40; 3.34
1134; CHAMPIGNON DE PARIS France cat.I moyen panier 3kg ;3.60; =; 3.35; 3.85
1135; CHAMPIGNON DE PARIS Belgique pied coupé cat.I plateau 3kg ;2.60; =; 2.40; 2.80
1136; CHAMPIGNON DE PARIS Import cat.I gros ;2.40; =; 2.40; 2.50
1137; CHAMPIGNON DE PARIS Import cat.I moyen ;2.30; =; 2.20; 2.30
1138; CHAMPIGNON DE PARIS France pied coupé extra plateau ;3.10; =; 2.90; 3.30
1139; CHAMPIGNON DE PARIS Pologne pied coupé cat.I plateau ;2.20; =; 1.95; 2.50
1140; CHAMPIGNON DE PARIS France biologique ;6.94; -0.18; 6.20; 8.45
1141; CHAMPIGNON DE PARIS U.E. pied coupé cat.I gros panier 3kg ;2.85; =; 2.60; 3.00
1142; CHAMPIGNON DE PARIS U.E. pied coupé cat.I moyen panier 3kg ;2.40; =; 2.20; 2.60
1143; CHAMPIGNON DE PARIS Pologne pied coupé cat.I plateau ;1.90; =; 1.80; 2.10
1144; CHAMPIGNON DE PARIS France biologique ;7.07; -0.05; 6.75; 7.81
1145; CHAMPIGNON DE PARIS Pays-Bas cat.I moyen ;2.93; =; 2.20; 3.60
1146; CHAMPIGNON DE PARIS Italie cat.I plateau ;2.20; =;  ;  
1147; CHAMPIGNON DE PARIS France biologique ;11.68; +0.14; 9.90; 14.95
1148; MANDARINE Espagne biologique ;2.10; -0.15; 1.05; 2.80
1149; MANDARINE Espagne cat.I 1 ;1.00;  ;  ;  
1150; MANDARINE haut de gamme Espagne cat.I 1 ;1.60; =; 1.40; 1.70
1151; MANDARINE haut de gamme Espagne cat.I 2 ;1.50; =; 1.20; 1.60
1152; MANDARINE U.E. biologique ;1.93; =; 1.45; 3.90
1153; MANDARINE Italie cat.I 1 ;2.15; -0.14;  ;  
1154; MANDARINE Italie cat.I 1 ;2.50; =; 2.40; 2.60
1155; MANDARINE U.E. biologique ;1.87; +0.12; 1.63; 2.30
1156; MANDARINE U.E. biologique ;1.76; +0.06; 1.45; 1.91
1157; MANDARINE Orri Israël cat.I 1 colis 10kg ;2.40; +0.15; 1.90; 3.00
1158; GRENADE Import ;3.30; =; 3.00; 3.90
1159; GRENADE Import ;3.70; =; 2.60; 4.80
1160; GRENADE Import ;3.50; =; 3.00; 3.80
1161; GRENADE Turquie ;2.08; =; 1.80; 2.70
1162; GRENADE U.E. biologique ;4.79; -1.08; 2.10; 7.80
1163; ASPERGE blanche violette Rhône-Alpes 16-22mm plateau ;10.00; =;  ;  
1164; ASPERGE blanche violette Rhône-Alpes +22mm plateau ;11.00; -1.00;  ;  
1165; ASPERGE blanche violette Val de Loire cat.II 10-16mm botte 1kg ;6.50;  ; 5.00; 8.00
1166; ASPERGE blanche Sud-Ouest cat.I 16-22mm plateau ;6.00;  ;  ;  
1167; ASPERGE blanche Sud-Ouest cat.I +22mm plateau ;6.50;  ;  ;  
1168; ASPERGE violette Sud-Ouest cat.I +22mm plateau ;7.50;  ;  ;  
1169; ASPERGE blanche violette Sud-Est 16-22mm plateau ;8.00; -1.00; 7.50; 8.00
1170; ASPERGE blanche violette Sud-Est +22mm plateau ;9.00; -1.00; 8.50; 9.00
1171; ASPERGE verte Sud-Est 12-16mm plateau ;8.50; =; 8.00; 8.50
1172; ASPERGE verte Sud-Est 16-22mm plateau ;10.00; =; 10.00; 10.00
1173; ASPERGE verte Sud-Est +22mm plateau ;11.00; =; 11.00; 11.00
1174; ASPERGE blanche Roussillon 10-16 ou 12-16mm ;10.00; =;  ;  
1175; ASPERGE blanche Roussillon 16-22mm ;12.00; =;  ;  
1176; ASPERGE verte Roussillon 12-16mm ;12.00; =;  ;  
1177; ASPERGE verte Roussillon 16-22mm ;16.00; =;  ;  
1178; ASPERGE blanche violette Sud-Est 16-22mm ;8.00;  ;  ;  
1179; ASPERGE blanche violette Sud-Est +22mm plateau ;9.50;  ;  ;  
1180; ASPERGE verte Sud-Est cat.I 16-22mm plateau ;9.00; =; 7.00; 11.00
1181; ASPERGE verte Sud-Est cat.I +22mm plateau ;10.50; =; 7.50; 12.00
1182; ASPERGE violette Sud-Est cat.I 16-22mm plateau ;7.80; -0.20; 7.00; 8.00
1183; ASPERGE violette Sud-Est cat.I +22mm plateau ;8.20; -0.30; 7.00; 9.00
1184; ASPERGE blanche Sud-Ouest cat.I 16-22mm plateau ;7.30; =; 7.00; 8.00
1185; ASPERGE blanche Sud-Ouest cat.I +22mm plateau ;7.70; =; 7.50; 10.00
1186; ASPERGE violette Sud-Ouest cat.I 12-16mm botte 500g ;6.80; =; 6.00; 8.00
1187; ASPERGE violette Sud-Ouest cat.I 16-22mm botte 500g ;8.40; +0.60; 7.50; 9.20
1188; ASPERGE violette Sud-Ouest cat.I 16-22mm plateau ;7.30; =; 7.00; 8.00
1189; ASPERGE violette Sud-Ouest cat.I +22mm plateau ;7.70; =; 7.50; 10.00
1190; ASPERGE blanche violette Sud-Ouest biologique ;9.50; -1.50; 8.00; 10.00
1191; ASPERGE verte Sud-Ouest biologique ;13.00; -0.60; 11.00; 13.50
1192; ASPERGE blanche violette France biologique ;11.55; -1.34; 8.00; 15.00
1193; ASPERGE verte France biologique ;14.50; -0.30; 11.00; 18.00
1194; ASPERGE verte Espagne biologique cat.I botte 250g ;10.20; -0.10;  ;  
1195; ASPERGE verte Espagne cat.I 12-16mm botte 500g ;5.60; =; 5.00; 6.00
1196; ASPERGE verte Espagne cat.I 16-22mm botte 500g ;6.00; =; 5.60; 6.40
1197; ASPERGE verte Espagne cat.I +22mm botte 500g ;6.40; =;  ;  
1198; ASPERGE blanche violette France biologique ;12.70; -1.35; 8.90; 18.50
1199; ASPERGE verte France biologique ;16.49; -0.26; 13.60; 19.52
1200; ASPERGE verte U.E. biologique ;12.37; -0.16; 9.02; 15.00
1201; ASPERGE verte Espagne cat.I 16-22mm botte 500g ;7.00; =; 6.80; 8.00
1202; ASPERGE verte Espagne cat.I 16-22mm plateau ;7.40; =; 6.80; 7.60
1203; ASPERGE verte Espagne cat.I +22mm botte 500g ;7.80; +0.20; 7.60; 9.00
1204; ASPERGE verte France cat.I 16-22mm plateau ;8.50; -0.50; 8.00; 13.50
1205; ASPERGE verte France cat.I +22mm plateau ;10.00; =; 9.50; 14.50
1206; ASPERGE violette France cat.I 16-22mm plateau ;8.50; =; 7.50; 9.00
1207; ASPERGE violette France cat.I +22mm plateau ;9.00; +0.30; 8.50; 11.50
1208; ASPERGE verte Espagne cat.I 12-16mm botte 500g ;7.30; =; 6.40; 8.00
1209; ASPERGE verte Espagne cat.I 16-22mm botte 500g ;8.00; =; 7.60; 9.14
1210; ASPERGE verte Espagne cat.I +22mm plateau ;7.45; -0.05; 7.00; 8.00
1211; ASPERGE verte Sud-Est cat.I 12-16mm plateau ;8.90; -2.85; 7.50; 11.00
1212; ASPERGE verte Sud-Est cat.I 16-22mm plateau ;10.00; -2.35; 8.50; 11.00
1213; ASPERGE violette France cat.I 16-22mm plateau ;11.50; -3.66;  ;  
1214; ASPERGE blanche France cat.I +22mm plateau ;9.30; -1.50; 8.00; 10.90
1215; ASPERGE verte Espagne cat.I 16-22mm botte 500g ;7.80; -1.20; 7.60; 8.00
1216; ASPERGE blanche France cat.I +22mm plateau ;11.00; -4.00; 10.50; 15.00
1217; ASPERGE blanche violette France cat.I 16-22mm plateau ;9.50; -3.50; 9.00; 13.00
1218; ASPERGE blanche violette France cat.I +22mm plateau ;11.00; -4.00; 10.50; 15.00
1219; ASPERGE verte France cat.I +22mm plateau ;13.00; -2.00; 12.50; 15.00
1220; ASPERGE verte Espagne cat.I 12-16mm botte 500g ;3.00; -3.50; 2.50; 3.50
1221; ASPERGE verte Espagne cat.I 16-22mm botte 500g ;3.40; -4.00; 3.00; 3.60
1222; ASPERGE verte Espagne cat.I +22mm plateau ;6.80; -0.45; 6.20; 7.50
1223; ASPERGE verte France cat.I +22mm plateau ;10.00; -2.00;  ;  
1224; ASPERGE verte France cat.I 12-16mm plateau ;10.80; =; 10.50; 11.00
1225; ASPERGE violette France cat.I 16-22mm plateau ;9.00; =; 8.50; 10.50
1226; ASPERGE violette France cat.I +22mm plateau ;10.50; =; 9.00; 11.50
1227; ASPERGE blanche violette France biologique ;12.37; -1.87; 10.80; 18.50
1228; ASPERGE verte France biologique ;17.04; +1.53;  ;  
1229; ASPERGE blanche France cat.I +22mm plateau ;18.50; +1.50;  ;  
1230; ASPERGE verte France cat.I 16-22mm plateau ;12.50; -0.50;  ;  
1231; ASPERGE verte France cat.I +22mm plateau ;16.00; +1.00;  ;  
1232; ASPERGE verte U.E. cat.I 16-22mm plateau ;7.70; -1.10; 7.20; 7.90
1233; ASPERGE verte U.E. cat.I +22mm plateau ;7.85; -0.65;  ;  
1234; ASPERGE blanche France cat.I +22mm plateau ;8.50; =; 7.50; 9.50
1235; ASPERGE blanche violette France cat.I 16-22mm ;7.00; =; 6.50; 7.50
1236; ASPERGE blanche violette France cat.I +22mm ;7.50; =; 6.50; 8.50
1237; ASPERGE verte Espagne cat.I 16-22mm botte 500g ;7.00; =; 6.50; 7.50
1238; ASPERGE verte France cat.I 16-22mm plateau ;10.00; =; 9.50; 11.00
1239; ASPERGE verte Amérique du sud cat.I 16-22mm botte 420g ;6.50; -0.70; 6.20; 7.00
1240; ASPERGE blanche violette France biologique ;12.03; -1.52; 11.52; 12.80
1241; ASPERGE verte France biologique ;16.72; -0.58; 15.03; 18.75
1242; ASPERGE verte U.E. biologique ;11.85; -1.00; 9.02; 15.00
1243; ASPERGE blanche France cat.I 16-22mm plateau ;10.65; =;  ;  
1244; ASPERGE verte France cat.I 16-22mm plateau ;11.17; =;  ;  
1245; ASPERGE blanche violette France cat.II 16-22mm plateau ;14.40;  ; 12.64; 16.38
1246; ASPERGE blanche France cat.I 16-22mm plateau ;9.50; =; 8.50; 10.50
1247; ASPERGE blanche France cat.I +22mm plateau ;10.80; =; 9.00; 12.00
1248; ASPERGE verte Espagne cat.I 16-22mm botte 500g ;7.20; +0.20; 6.00; 7.60
1249; ASPERGE verte Espagne cat.I +22mm plateau ;8.00; =; 6.50; 8.50
1250; ASPERGE verte France cat.I 16-22mm plateau ;10.80; =; 9.50; 12.50
1251; ASPERGE verte France cat.I +22mm plateau ;11.00; =; 10.50; 12.50
1252; ASPERGE blanche Allemagne cat.I 16-22mm ;18.00; +3.00; 17.00; 19.00
1253; ASPERGE blanche Allemagne cat.I +22mm ;15.50; +2.25; 15.00; 16.00
1254; ASPERGE blanche Grèce cat.I 16-22mm ;8.50; -1.00; 8.00; 9.00
1255; ASPERGE blanche Pays-Bas cat.I +22mm ;17.50;  ; 17.00; 18.00
1256; ASPERGE blanche Pays-Bas cat.II +20 mm plateau ;14.50; +0.50; 14.00; 15.00
1257; ASPERGE verte Espagne cat.I 12-16mm ;7.50; =; 7.00; 8.00
1258; ASPERGE violette Grèce cat.I 16-22mm ;8.50; +1.00; 8.00; 9.00
1259; ASPERGE blanche Allemagne cat.I 16-22mm ;17.50; =; 16.00; 19.00
1260; ASPERGE blanche Allemagne cat.I +22mm ;14.50; =; 14.00; 15.00
1261; ASPERGE blanche Allemagne cat.II 16-22mm ;13.50; =; 13.00; 14.00
1262; ASPERGE blanche Grèce cat.I 16-22mm ;8.25; -1.00; 7.50; 9.00
1263; ASPERGE blanche Grèce cat.I 16-22mm botte 1kg ;5.00; -0.40; 4.50; 5.50
1264; ASPERGE blanche violette Allemagne cat.II 16-22mm ;12.50; =; 12.00; 13.00
1265; ASPERGE verte Allemagne cat.I 16-22mm ;18.50;  ; 18.00; 19.00
1266; ASPERGE verte Espagne cat.I 12-16mm ;8.00; +0.50; 7.00; 9.00
1267; ASPERGE verte Italie cat.I 12-16mm ;8.80; =; 8.00; 9.60
1268; ASPERGE violette Allemagne cat.I 16-22mm ;16.00;  ; 15.00; 17.00
1269; ASPERGE violette Grèce cat.I 16-22mm ;7.25; -0.25; 6.50; 8.00
1270; ASPERGE violette Grèce cat.I 16-22mm botte 1kg ;4.50; -0.30; 4.00; 5.00
1271; ASPERGE blanche violette France biologique ;19.32;  ; 14.92; 23.89
1272;" ASPERGE ""autre que verte"" France +16 mm cdt 500g ";15.87;  ; 11.98; 19.98
1273;" ASPERGE ""autre que verte"" France +16 mm vrac ";16.33; -2.05; 12.99; 19.99
1274; ASPERGE verte hors Fr. 10-16 ou 12-16mm cdt 500g ;9.40; +0.30; 5.30; 11.98
1275; CRÔSNE France ;13.00; =; 12.00; 15.80
1276; CRÔSNE France plateau ;15.00; -1.50;  ;  
1277; OIGNON blanc frais Roussillon botte (la botte) ;1.00; =; 1.00; 1.10
1278; OIGNON rouge frais Roussillon botte (la botte) ;1.00; =; 1.00; 1.10
1279; OIGNON Cebette Sud-Est botte (la botte) ;0.70; =; 0.60; 0.80
1280; OIGNON jaune sec Alsace cat.I 40-60mm filet 1kg ;0.53; =; 0.40; 0.58
1281; OIGNON jaune sec Alsace cat.I 40-60mm sac 5kg ;0.26; +0.01;  ;  
1282; OIGNON jaune sec Alsace cat.I 60-80mm sac 10kg ;0.44; =;  ;  
1283; OIGNON jaune sec Nord-Picardie cat.I 40-60mm filet 1kg ;0.34; =; 0.28; 0.40
1284; OIGNON jaune sec Nord-Picardie cat.I 40-60mm sac 10kg ;0.24; =; 0.22; 0.24
1285; OIGNON jaune sec Nord-Picardie cat.I 40-60mm sac 5kg ;0.25; =; 0.22; 0.26
1286; OIGNON jaune sec Nord-Picardie cat.I 50-70mm sac 10kg ;0.26; =; 0.25; 0.26
1287; OIGNON jaune sec Nord-Picardie cat.I 60-80mm export(Dest) sac 1tonne ;0.20;  ;  ;  
1288; OIGNON jaune sec Nord-Picardie cat.I 60-80mm sac 10kg ;0.26; =; 0.24; 0.27
1289; OIGNON jaune sec Nord-Picardie cat.I 60-80mm sac 25kg ;0.25; =; 0.23; 0.26
1290; OIGNON jaune sec Nord-Picardie cat.I 60-80mm sac 5kg ;0.27; =; 0.25; 0.30
1291; OIGNON Cebette France avec fane biologique (la botte) ;1.35; =;  ;  
1292; OIGNON jaune France biologique ;1.43; +0.03; 1.10; 1.67
1293; OIGNON rouge France biologique ;1.91; -0.12; 1.65; 2.13
1294; OIGNON jaune sec France cat.I 40-60mm filet 1kg ;0.38; =; 0.28; 0.45
1295; OIGNON jaune sec France cat.I 40-60mm sac 5kg ;0.27; =; 0.22; 0.35
1296; OIGNON jaune sec France cat.I 50-70mm sac 10kg ;0.28; =; 0.22; 0.35
1297; OIGNON jaune sec France cat.I 60-80mm sac 10kg ;0.28; =; 0.22; 0.35
1298; OIGNON blanc frais Espagne avec fane biologique botte ;1.35;  ;  ;  
1299; OIGNON blanc U.E. avec fane biologique (la botte) ;1.59; -0.08; 1.33; 2.15
1300; OIGNON jaune France biologique ;1.65; +0.03; 1.30; 2.10
1301; OIGNON jaune U.E. biologique ;1.22; +0.01; 1.00; 1.66
1302; OIGNON rouge France biologique ;2.25; +0.03; 1.85; 2.86
1303; OIGNON rouge U.E. biologique ;1.61; +0.02; 1.40; 2.06
1304; OIGNON blanc frais Espagne cat.I botte (la botte) ;1.10; =; 1.05; 1.15
1305; OIGNON blanc frais France cat.I botte (la botte) ;0.90;  ; 0.70; 1.05
1306; OIGNON blanc frais Italie cat.I botte (la botte) ;0.75; =; 0.55; 0.88
1307; OIGNON jaune France cat.I 40-60mm ;0.35; =; 0.25; 0.40
1308; OIGNON jaune France cat.I 60-80mm ;0.43; =; 0.35; 0.48
1309; OIGNON Cebette France cat.I botte (la botte) ;1.00; +0.05; 0.85; 1.21
1310; OIGNON doux Espagne cat.I 40-60mm plateau ;2.30; =;  ;  
1311; OIGNON France cat.I 50-80mm sac 10kg ;0.55; =; 0.42; 0.65
1312; OIGNON rouge France cat.I 60-80mm sac 10kg ;1.40; =; 1.30; 1.65
1313; OIGNON rouge Italie cat.I ;1.15; =; 1.10; 1.20
1314; OIGNON blanc frais France cat.I (la botte) ;1.15; =;  ;  
1315; OIGNON blanc frais Italie cat.I botte (la botte) ;1.25; =;  ;  
1316; OIGNON jaune Espagne cat.I 60-80mm sac 10kg ;0.75; =;  ;  
1317; OIGNON jaune France cat.I 60-80mm sac 10kg ;0.60; =; 0.50; 0.65
1318; OIGNON rouge France cat.I 60-80mm sac 5kg ;1.20; =; 1.00; 1.30
1319; OIGNON jaune France cat.I 40-60mm ;0.35; =; 0.30; 0.35
1320; OIGNON jaune France cat.I 60-80mm ;0.40; =; 0.35; 0.40
1321; OIGNON rouge France cat.I 60-80mm sac 5kg ;0.75; =;  ;  
1322; OIGNON blanc sec Espagne cat.I 60-80mm ;1.10; =; 1.00; 1.30
1323; OIGNON jaune Espagne cat.I 60-80mm ;0.60; +0.05; 0.50; 0.65
1324; OIGNON jaune sec France cat.I 60-80mm sac 10kg ;0.55; -0.05; 0.40; 0.60
1325; OIGNON rouge sec Espagne cat.I 60-80mm ;1.00; -0.05; 1.00; 1.20
1326; OIGNON blanc frais France cat.I botte (la botte) ;1.45; =; 1.40; 1.50
1327; OIGNON blanc frais Italie cat.I botte (la botte) ;1.10; =; 1.00; 1.25
1328; OIGNON jaune France cat.I 40-60mm ;0.42; =; 0.39; 0.55
1329; OIGNON jaune France cat.I 60-80mm ;0.45; =; 0.39; 0.60
1330; OIGNON jaune France biologique ;1.45; =; 1.30; 1.85
1331; OIGNON rouge France biologique ;2.23; -0.02; 2.13; 2.55
1332; OIGNON rouge U.E. biologique ;1.70;  ;  ;  
1333; OIGNON blanc sec U.E. cat.I ;1.20; =; 1.10; 1.30
1334; OIGNON Cebette France cat.I botte ;0.78; =;  ;  
1335; OIGNON Cebette U.E. cat.I botte ;0.60; -0.05;  ;  
1336; OIGNON jaune paille France cat.I 60-80mm sac 10kg ;0.63; =;  ;  
1337; OIGNON jaune paille U.E. cat.I 60-80mm sac 10kg ;0.75; =; 0.65; 0.85
1338; OIGNON rouge sec U.E. cat.I ;1.20; =; 1.05; 1.30
1339; OIGNON blanc frais Italie cat.I botte (la botte) ;0.90; =; 0.70; 1.10
1340; OIGNON jaune sec France cat.I 40-60mm ;0.32; =; 0.28; 0.35
1341; OIGNON blanc U.E. avec fane biologique (la botte) ;1.33; -0.21;  ;  
1342; OIGNON jaune France biologique ;1.69; +0.07; 1.63; 1.79
1343; OIGNON jaune U.E. biologique ;1.22; +0.01; 1.04; 1.38
1344; OIGNON rouge France biologique ;2.12; +0.03; 1.85; 2.25
1345; OIGNON rouge U.E. biologique ;1.49; =;  ;  
1346; OIGNON blanc frais U.E. cat.I botte (la botte) ;0.93; =; 0.75; 1.20
1347; OIGNON jaune France cat.I 40-60mm filet 1kg ;0.78; =; 0.75; 0.80
1348; OIGNON jaune France cat.I 40-60mm sac 5kg ;0.54; =; 0.30; 0.75
1349; OIGNON jaune France cat.I 60-80mm sac 10kg ;0.71; =; 0.50; 0.85
