;Produit;Prix moyen;Variation;Prix min;Prix max
286; FRAISE Gariguette Roussillon ;10.00; =; 10.00; 10.00
287; FRAISE Ciflorette Sud-Est barq.250g ;11.00; -2.00;  ;  
288; FRAISE standard Sud-Est barq.500g ;9.00;  ;  ;  
289; FRAISE Ciflorette Sud-Est cat.I barq.250g ;9.40; =;  ;  
290; FRAISE Gariguette Sud-Est cat.I barq.250g ;7.60; =; 6.76; 9.40
291; FRAISE standard Sud-Est cat.I barq.500g ;6.70; =; 6.40; 8.00
292; FRAISE standard Sud-Est cat.I barq.bois.ansée.500g ;7.60; =; 7.00; 8.50
293; FRAISE standard Sud-Est cat.I panier 1kg ;8.60; =; 8.50; 9.00
294; FRAISE Ciflorette Sud-Ouest cat.I barq.250g ;9.00; =; 8.80; 11.20
295; FRAISE Gariguette Sud-Ouest cat.I barq.250g ;7.80; =; 6.80; 8.80
296; FRAISE standard Sud-Ouest cat.I barq.500g ;6.80; =; 6.50; 7.20
297; FRAISE Gariguette France biologique barq.250g ;15.20;  ;  ;  
298; FRAISE standard France biologique barq.250g ;12.40;  ;  ;  
299; FRAISE standard France biologique barq.500g ;10.60;  ;  ;  
300; FRAISE Espagne biologique barq.250g ;5.85; =; 4.80; 6.95
301; FRAISE Espagne biologique cat.I ;6.20; -0.05;  ;  
302; FRAISE standard Espagne cat.I barq.500g ;1.80; =; 1.60; 2.00
303; FRAISE standard Espagne cat.I plateau 1kg ;2.30; =; 2.00; 2.50
304; FRAISE Gariguette France biologique barq.250g ;18.03;  ; 16.00; 18.44
305; FRAISE standard France biologique barq.250g ;19.00;  ; 14.00; 22.96
306; FRAISE standard U.E. biologique barq.250g ;6.59; -0.35; 4.53; 6.96
307; FRAISE standard U.E. biologique barq.500g ;5.67;  ; 5.21; 7.99
308; FRAISE Gariguette France cat.I barq.250g ;9.60; -0.40; 8.80; 10.40
309; FRAISE standard Espagne cat.I barq.500g ;2.00; -0.20; 2.00; 2.20
310; FRAISE standard Espagne cat.I plateau 1kg ;3.00; =; 2.80; 3.00
311; FRAISE standard France cat.I barq.500g ; ;  ; 8.00; 9.00
312; FRAISE Gariguette France cat.I barq.250g ;12.00; -3.00; 11.00; 12.40
313; FRAISE standard Espagne cat.I barq.500g ;2.76; -2.38;  ;  
314; FRAISE standard Espagne cat.I plateau ;4.25; -1.25; 3.50; 4.80
315; FRAISE standard Sud-Est cat.I barq.500g ;11.20;  ; 9.00; 13.20
316; FRAISE standard Sud-Est cat.I panier ;11.60;  ; 9.50; 13.75
317; FRAISE Gariguette France cat.I barq.250g ;10.00; -2.00; 9.20; 10.40
318; FRAISE standard Espagne cat.I barq.500g ;2.70;  ;  ;  
319; FRAISE standard Espagne cat.I plateau 1kg ;3.40; -0.10; 3.00; 3.80
320; FRAISE standard France cat.I barq.500g ;7.40; -0.40;  ;  
321; FRAISE Gariguette France cat.I barq.250g ;13.20; -1.30; 11.20; 14.00
322; FRAISE standard Espagne cat.I barq.500g ;2.30; -0.90; 2.00; 2.40
323; FRAISE standard Espagne cat.I plateau 1kg ;2.60; -2.20; 1.80; 4.00
324; FRAISE standard France cat.I barq.500g ;9.50;  ; 9.00; 10.00
325; FRAISE Ciflorette France cat.I barq.250g ;12.80; =; 12.40; 13.20
326; FRAISE Gariguette France cat.I barq.250g ;11.20; =; 10.80; 13.60
327; FRAISE Gariguette France extra plateau ;14.00; =; 12.50; 14.50
328; FRAISE Gariguette France extra plateau 2kg ;13.00; -1.00; 12.50; 13.50
329; FRAISE standard Espagne cat.I barq.500g ;2.70; -0.10; 2.50; 3.00
330; FRAISE standard Espagne cat.I plateau 1kg ;3.20; =; 2.70; 3.90
331; FRAISE standard France cat.I barq.250g ;11.60; =; 11.60; 12.00
332; FRAISE standard France biologique barq.250g ;19.53;  ;  ;  
333; FRAISE standard France cat.I barq.250g ;13.40; -1.05; 11.20; 15.20
334; FRAISE standard France cat.I barq.500g ;13.00; -3.00;  ;  
335; FRAISE standard U.E. cat.I barq.250g ;6.50; -0.30; 6.00; 7.20
336; FRAISE standard U.E. cat.I barq.500g ;3.15; -1.10; 2.60; 3.70
337; FRAISE standard U.E. cat.I panier 1kg ;5.15; -0.15; 3.50; 6.50
338; FRAISE Gariguette France cat.I plateau 1kg ;9.00; =; 8.00; 11.00
339; FRAISE Gariguette France extra plateau ;10.00; -1.00; 9.50; 12.00
340; FRAISE standard Espagne cat.I barq.250g ;2.50; =; 2.20; 3.30
341; FRAISE standard Espagne cat.I plateau 1kg ;3.00; +0.40; 2.50; 4.00
