;Origine;libellé;Avril2020;Mai2020;Juin2020;Juil.2020;Août2020;Septe.2020;Octo.2020;Nove.2020;Déce.2020;Janv.2021;Févr.2021;Mars2021
1996;MIN de Strasbourg : fruits et légumes; LAITUE Feuille de chêne blonde France cat.I colis de 12 (la pièce) ;  ; 0.89; 0.79; 0.74; 0.74; 0.91; 0.92; 0.94; 0.84; 0.85; 0.89; 0.87
1997;MIN de Strasbourg : fruits et légumes; LAITUE Feuille de chêne rouge France cat.I colis de 12 (la pièce) ;  ; 0.89; 0.78; 0.74; 0.73; 0.89; 0.91; 0.96; 0.90; 0.91; 0.95; 0.87
1998;MIN de Strasbourg : fruits et légumes; LAITUE Iceberg Espagne cat.I colis de 9 (la pièce) ;  ;  ;  ;  ;  ;  ;  ;  ; 0.77; 1.18; 0.85; 0.96
1999;MIN de Strasbourg : fruits et légumes; LAITUE Iceberg Espagne de plein champ cat.I colis de 10 (la pièce) ;  ; 0.92; 0.83; 0.76; 0.75;  ;  ;  ;  ;  ;  ;  
2000;MIN de Strasbourg : fruits et légumes; LAITUE Iceberg Pays-Bas sous-abri cat.I colis de 10 (la pièce) ;  ;  ;  ;  ; 0.88; 0.91; 0.89; 0.91; 0.81;  ;  ;  
2001;MIN de Strasbourg : fruits et légumes; LAITUE pommée France cat.I colis de 12 (la pièce) ;  ; 0.92; 0.81; 0.78; 0.75; 0.89; 0.92; 0.97; 0.88; 0.92; 0.94; 0.90
2002;MIN de Strasbourg : fruits et légumes bio; LAITUE Batavia France biologique (la pièce) ;  ;  ;  ;  ;  ;  ; 1.03; 1.03; 1.13; 0.93; 0.95; 0.94
2003;MIN de Strasbourg : fruits et légumes bio; LAITUE Feuille de chêne blonde France biologique (la pièce) ;  ;  ;  ;  ;  ;  ; 1.03; 1.03; 1.15; 0.93; 0.95; 0.94
2004;MIN de Strasbourg : fruits et légumes bio; LAITUE pommée France biologique (la pièce) ;  ;  ;  ;  ;  ;  ; 1.01; 1.01; 1.13; 0.93; 0.95; 0.92
2005;MIN de Toulouse : fruits et légumes; LAITUE Batavia blonde France cat.I colis de 12 (les 12 pièces) ; 7.81; 7.25; 7.05; 6.16; 6.50; 8.27; 7.80; 8.12; 6.88; 7.24; 6.85; 7.39
2006;MIN de Toulouse : fruits et légumes; LAITUE Feuille de chêne blonde France cat.I colis de 12 (les 12 pièces) ; 7.81; 7.25; 7.05; 6.16; 6.50; 8.40; 7.80; 8.12; 6.88; 7.24; 6.85; 7.39
2007;MIN de Toulouse : fruits et légumes; LAITUE Feuille de chêne rouge France cat.I colis de 12 (les 12 pièces) ; 7.88; 7.25; 7.05; 6.16; 6.50; 8.27; 7.80; 8.12; 6.88; 7.24; 6.85; 7.39
2008;MIN de Toulouse : fruits et légumes; LAITUE pommée France cat.I colis de 12 (les 12 pièces) ; 7.88; 7.25; 7.05; 6.16; 6.50; 8.27; 7.80; 8.12; 6.88; 7.24; 6.85; 7.39
2009;Bio magasins spécialisés (DRIVE); LAITUE Batavia France biologique (la pièce) ;  ;  ;  ;  ;  ;  ;  ; 1.40; 1.37; 1.33; 1.31; 1.29
2010;Bio magasins spécialisés (DRIVE); LAITUE Feuille de chêne France biologique (la pièce) ;  ;  ;  ;  ;  ;  ;  ; 1.48; 1.42; 1.39; 1.38; 1.37
2011;Bio magasins spécialisés (DRIVE); LAITUE pommé France biologique (la pièce) ;  ;  ;  ;  ;  ;  ;  ; 1.51; 1.45; 1.36; 1.39; 1.35
2012;Légumes France DETAIL GMS; LAITUE Batavia France (la pièce) ;  ;  ;  ;  ;  ;  ; 1.06; 1.10; 1.04; 1.04; 1.06; 1.02
2013;Légumes France DETAIL GMS; LAITUE Feuille de chêne France (la pièce) ;  ;  ;  ;  ;  ;  ; 1.11; 1.13; 1.06; 1.04; 1.05; 1.03
2014;Légumes France DETAIL GMS; LAITUE pommée-batavia-feuille de chêne France biologique (la pièce) ;  ;  ;  ;  ;  ;  ; 1.99; 1.92; 1.86; 1.73; 1.72; 1.61
2015;Légumes France DETAIL GMS; LAITUE pommée France (la pièce) ;  ;  ;  ;  ;  ;  ; 1.08; 1.10; 1.04; 1.03; 1.05; 1.03
2016;Cadran de Barfleur : légumes; CHOU FLEUR Manche couronné cat.I gros (la pièce) ; 1.60; 2.43; 1.01; 0.90; 1.38; 1.14; 1.18; 0.42; 0.52; 1.15; 0.83; 1.34
2017;Cadran de Barfleur : légumes; CHOU FLEUR Manche couronné cat.II gros (la pièce) ; 0.98; 1.56; 0.52; 0.61; 0.90; 0.88; 0.95; 0.28; 0.36; 0.84; 0.51; 0.74
2018;Cadran de Barfleur : légumes; CHOU FLEUR Manche couronné cat.I moyen (la pièce) ; 0.78; 0.83;  ;  ;  ;  ;  ;  ;  ; 0.68; 0.27; 0.57
2019;Cadran de Paimpol : légumes; CHOU FLEUR Bretagne couronné cat.I gros colis de 6 (la pièce) ; 1.58; 2.94; 0.99; 0.91; 1.35; 1.09; 1.17; 0.41; 0.49; 1.08; 0.73; 1.19
2020;Cadran de Paimpol : légumes; CHOU FLEUR Bretagne couronné cat.I gros colis de 6 (les 6 pièces) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 10.77
2021;Cadran de Paimpol : légumes; CHOU FLEUR Bretagne couronné cat.I moyen colis de 8 (la pièce) ; 0.98; 1.87; 0.38; 0.36; 0.50; 0.57; 0.80; 0.25; 0.33; 0.67; 0.35; 0.70
2022;Cadran de Paimpol : légumes; CHOU FLEUR Bretagne couronné cat.I moyen colis de 8 (les 8 pièces) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 11.03
2023;Cadran de Paimpol : légumes; CHOU FLEUR Bretagne couronné cat.I petit colis de 11 (les 11 pièces) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 4.25
2024;Cadran de Paimpol : légumes; CHOU FLEUR Bretagne couronné cat.I petit colis de 11 (la pièce) ; 0.37; 0.47;  ; 0.11; 0.14; 0.17; 0.31; 0.11; 0.17; 0.45; 0.16; 0.24
2025;Cadran de St-Méloir : légumes; CHOU FLEUR Bretagne couronné cat.I gros colis de 6 (les 6 pièces) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 10.55
2026;Cadran de St-Méloir : légumes; CHOU FLEUR Bretagne couronné cat.I gros colis de 6 (la pièce) ; 1.56; 2.40; 1.30; 0.94; 1.23; 1.12; 1.16; 0.41; 0.49; 1.07; 0.64; 1.17
2027;Cadran de St-Méloir : légumes; CHOU FLEUR Bretagne couronné cat.II gros colis de 6 (la pièce) ; 0.70; 1.23; 0.62; 0.39; 0.34; 0.61; 0.72;  ; 0.35; 0.55; 0.32; 0.46
2028;Cadran de St-Méloir : légumes; CHOU FLEUR Bretagne couronné cat.I moyen colis de 8 (les 8 pièces) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 10.25
2029;Cadran de St-Méloir : légumes; CHOU FLEUR Bretagne couronné cat.I moyen colis de 8 (la pièce) ; 1.02; 1.66; 0.70; 0.35; 0.51; 0.62; 0.82; 0.24; 0.33; 0.67; 0.34; 0.66
2030;Cadran de St-Méloir : légumes; CHOU FLEUR Bretagne couronné cat.I petit colis de 11 (la pièce) ; 0.36; 0.47; 0.13; 0.11;  ; 0.19; 0.40;  ; 0.17; 0.40; 0.19; 0.23
2031;Cadran de St-Méloir : légumes; CHOU FLEUR Bretagne couronné cat.I petit colis de 11 (les 11 pièces) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 4.24
2032;Cadran de St-Méloir : légumes; CHOU FLEUR vert Bretagne couronné cat.I gros colis de 6 (la pièce) ;  ;  ; 1.02; 0.54; 0.39; 1.00; 1.48; 0.36;  ;  ;  ;  
2033;Cadran de St-Pol-de-Léon : légumes; CHOU FLEUR Bretagne couronné cat.I gros colis de 6 (les 6 pièces) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 10.50
2034;Cadran de St-Pol-de-Léon : légumes; CHOU FLEUR Bretagne couronné cat.I gros colis de 6 (la pièce) ; 1.58; 3.07; 1.07; 0.91; 1.36; 1.11; 1.16; 0.41; 0.51; 1.10; 0.79; 1.13
2035;Cadran de St-Pol-de-Léon : légumes; CHOU FLEUR Bretagne couronné cat.I moyen colis de 8 (la pièce) ; 1.02; 2.00; 0.56; 0.35; 0.56; 0.62; 0.84; 0.25; 0.34; 0.67; 0.36; 0.68
2036;Cadran de St-Pol-de-Léon : légumes; CHOU FLEUR Bretagne couronné cat.I moyen colis de 8 (les 8 pièces) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 10.51
2037;Cadran de St-Pol-de-Léon : légumes; CHOU FLEUR Bretagne couronné cat.I petit colis de 11 (la pièce) ; 0.43; 0.69;  ; 0.11; 0.17; 0.15; 0.28; 0.11; 0.18; 0.47; 0.19; 0.24
2038;Cadran de St-Pol-de-Léon : légumes; CHOU FLEUR Bretagne couronné cat.I petit colis de 11 (les 11 pièces) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 4.45
2039;Marché de Lyon-Corbas carreau : fruits et légumes; CHOU FLEUR Rhône-Alpes couronné cat.I gros (les 6 pièces) ;  ; 18.00; 13.56; 9.88; 10.38; 11.11; 11.33; 9.75; 9.60; 8.00;  ;  
2040;Marché de Perpignan carreau : fruits et légumes; CHOU FLEUR Roussillon gros (la pièce) ; 1.10; 1.24; 1.60; 1.60; 1.60; 1.60;  ;  ; 1.00; 1.00; 1.00; 1.00
2041;Marché de Perpignan carreau : fruits et légumes; CHOU FLEUR Roussillon moyen (la pièce) ; 1.10; 1.16; 1.30; 1.30; 1.30; 1.30; 1.20; 1.20; 1.20; 1.20; 1.20; 1.20
2042;MIN d'Agen carreau : fruits et légumes; CHOU FLEUR Sud-Ouest couronné cat.I gros (les 6-8 pièces) ;  ;  ; 10.00; 10.00;  ;  ; 10.62; 7.17; 7.00; 7.38; 7.33; 9.00
2043;MIN de Cavaillon carreau : fruits et légumes; CHOU FLEUR Sud-Est couronné (les 6 pièces) ;  ;  ; 12.00;  ;  ;  ;  ;  ;  ;  ;  ;  
2044;MIN de Châteaurenard carreau : fruits et légumes; CHOU FLEUR Sud-Est couronné (les 6 pièces) ;  ;  ;  ;  ;  ; 12.00; 12.00;  ;  ;  ;  ;  
2045;MIN de Châteaurenard carreau : fruits et légumes; CHOU FLEUR Sud-Est couronné (le kg) ;  ;  ;  ;  ;  ;  ; 12.00;  ;  ;  ;  ;  
2046;Bassin Bretagne : fruits et légumes; CHOU FLEUR Bretagne couronné cat.I gros (les 6 pièces) ; 11.83; 20.68; 10.44; 7.90; 11.00; 9.06; 9.16; 4.55; 5.12; 8.68; 6.55; 10.55
2047;Bassin Bretagne : fruits et légumes; CHOU FLEUR Bretagne couronné cat.I moyen (les 8 pièces) ; 10.64; 18.33; 12.00;  ; 7.54; 7.32; 8.92; 4.09; 4.68; 7.68; 5.03; 9.59
2048;Bassin Bretagne : fruits et légumes; CHOU FLEUR Bretagne couronné cat.I moyen (le kg) ;  ;  ;  ; 3.81; 5.88;  ;  ;  ;  ;  ;  ;  
2049;Bassin Manche : légumes; CHOU FLEUR Manche couronné cat.I gros (les 6 pièces) ; 11.48; 16.07;  ;  ; 10.00; 8.66; 9.06; 4.28; 4.96; 8.64; 6.83; 9.99
2050;Bassin Nord-Picardie : fruits et légumes; CHOU FLEUR Nord-Picardie couronné cat.I gros (les 6 pièces) ;  ;  ; 8.59; 7.44; 9.71; 8.72; 8.82;  ;  ;  ;  ;  
2051;France : fruits et légumes bio - expédition; CHOU FLEUR France couronné biologique (la pièce) ; 1.92; 2.88; 2.31; 2.04; 2.56; 2.68; 2.42; 1.31; 1.29; 1.89; 1.29; 1.88
2052;Cadran Belgique : fruits et légumes; CHOU FLEUR Belgique couronné cat.I gros (les 6 pièc.emb.cons.) ;  ; 17.73; 5.64; 5.45; 4.21; 5.53; 6.02; 3.29; 5.00; 1.52; 0.70;  
2053;Cadran Belgique : fruits et légumes; CHOU FLEUR Belgique couronné extra gros (les 6 pièc.emb.cons.) ;  ; 21.59; 6.68; 6.67; 5.07; 6.03; 6.87; 4.57; 6.74; 1.98; 1.13;  
2054;France : fruits et légumes bio - import; CHOU FLEUR Espagne biologique cat.I (la pièce) ; 1.79;  ;  ;  ;  ;  ;  ;  ; 1.45; 1.68; 1.39; 1.30
2055;Marché de St-Charles : fruits et légumes - import; CHOU FLEUR Espagne cat.I gros (les 6 pièces) ;  ;  ;  ;  ;  ;  ; 9.24; 4.83; 4.80; 7.72; 5.00; 8.39
2056;Pays-Bas : fruits et légumes; CHOU FLEUR couronné cat.I moyen (la pièce) ;  ;  ;  ;  ; 1.20;  ;  ;  ;  ;  ;  ;  
2057;France : fruits et légumes bio - grossistes; CHOU FLEUR France couronné biologique (la pièce) ; 2.65; 3.44; 3.25; 2.63; 3.03; 3.08; 2.61; 1.57; 1.55; 2.22; 1.62; 1.96
2058;Marché de Berlin : fruits et légumes; CHOU FLEUR Allemagne couronné cat.I gros (les 6 pièces) ; 12.50; 14.81; 9.94; 7.40; 6.50; 7.10; 9.88; 7.12;  ;  ;  ;  
2059;Marché de Berlin : fruits et légumes; CHOU FLEUR Allemagne couronné cat.I moyen (les 8 pièces) ; 12.00; 15.88; 11.19; 8.60; 7.70; 8.00; 10.88; 8.12;  ;  ;  ;  
2060;Marché de Berlin : fruits et légumes; CHOU FLEUR Italie couronné cat.I gros (les 6 pièces) ; 15.62;  ;  ;  ;  ;  ;  ;  ; 8.70; 10.25; 8.38; 12.85
2061;Marché de Berlin : fruits et légumes; CHOU FLEUR Italie couronné cat.I moyen (les 8 pièces) ; 16.00;  ;  ;  ;  ;  ;  ;  ; 9.70; 11.12; 9.50; 13.90
2062;Marché de Bologne : fruits et légumes; CHOU FLEUR Italie couronné cat.I (le kg) ; 1.62; 1.43; 1.73; 1.20; 1.23; 1.23; 1.67; 1.12; 0.80; 0.80; 0.75; 1.00
2063;Marché de Lyon-Corbas : fruits et légumes; CHOU FLEUR Allemagne couronné cat.I gros (les 6 pièces) ;  ; 18.40; 11.94; 8.84;  ;  ;  ;  ;  ;  ;  ;  
2064;Marché de Lyon-Corbas : fruits et légumes; CHOU FLEUR Espagne couronné cat.I gros (les 6 pièces) ; 14.69; 16.50; 11.00;  ;  ; 12.00; 11.93;  ;  ; 9.55; 6.59; 10.82
2065;Marché de Lyon-Corbas : fruits et légumes; CHOU FLEUR France couronné cat.I gros (les 6 pièces) ; 15.09; 22.46; 12.20; 10.04; 12.97; 11.29; 12.27; 6.47; 7.27; 11.11; 8.62; 13.12
2066;Marché de Munich : fruits et légumes; CHOU FLEUR Allemagne couronné cat.I gros (les 6 pièces) ; 11.25; 14.50; 10.62; 8.10; 7.53; 7.88; 9.50; 7.08;  ;  ;  ;  
2067;Marché de Munich : fruits et légumes; CHOU FLEUR Espagne couronné cat.I gros (les 6 pièces) ;  ;  ;  ;  ;  ;  ; 8.50;  ;  ;  ;  ;  
2068;Marché de Munich : fruits et légumes; CHOU FLEUR France couronné cat.I gros (les 6 pièces) ;  ; 16.00;  ;  ;  ;  ;  ; 7.88; 8.75; 9.58; 10.25; 13.50
2069;Marché de Munich : fruits et légumes; CHOU FLEUR France couronné cat.I moyen (les 8 pièces) ; 9.75;  ;  ;  ;  ;  ;  ;  ;  ; 8.50; 9.75; 13.10
2070;Marché de Munich : fruits et légumes; CHOU FLEUR Italie couronné cat.I gros (les 6 pièces) ; 16.50; 15.00;  ;  ;  ;  ;  ; 7.00; 7.42; 9.25; 8.50; 12.00
2071;Marché de Munich : fruits et légumes; CHOU FLEUR Italie couronné cat.I moyen (les 8 pièces) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 9.25; 7.88; 11.45
2072;MIN d'Avignon-Cavaillon : fruits et légumes; CHOU FLEUR Espagne couronné cat.I (les 6 pièces) ; 14.90; 17.00; 14.81;  ;  ; 11.10; 14.77; 9.16; 8.30; 11.27; 9.32; 10.19
2073;MIN d'Avignon-Cavaillon : fruits et légumes; CHOU FLEUR France couronné cat.I gros (les 6 pièces) ; 16.99; 22.50; 17.85; 13.26; 12.87; 13.53; 15.81; 10.12; 9.58; 13.62; 10.82; 12.68
2074;MIN de Bordeaux-Brienne : fruits et légumes; CHOU FLEUR France couronné cat.I gros (les 6 pièces) ;  ;  ;  ; 11.29; 14.66; 12.53; 14.21; 7.62; 8.97; 12.14; 10.03; 12.48
2075;MIN de Lomme-Lille : fruits et légumes; CHOU FLEUR Espagne couronné cat.I gros (la pièce) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 2.40;  ;  
2076;MIN de Lomme-Lille : fruits et légumes; CHOU FLEUR France cat.I gros (la pièce) ;  ;  ;  ;  ;  ; 1.45; 2.17; 1.17; 1.25; 1.96; 1.57; 1.86
2077;MIN de Marseille : fruits et légumes; CHOU FLEUR Espagne couronné cat.I moyen (les 6-8 pièces) ;  ;  ;  ;  ;  ;  ; 12.00; 7.50; 7.36; 10.25; 7.75; 9.06
2078;MIN de Marseille : fruits et légumes; CHOU FLEUR France couronné cat.I moyen (les 6-8 pièces) ;  ;  ; 15.00; 17.40; 19.88; 14.75; 14.60; 10.25; 9.60; 12.62; 11.75; 13.00
2079;MIN de Nantes : fruits et légumes; CHOU FLEUR Bretagne cat.I moyen (les 8 pièces) ;  ; 23.50; 23.50;  ;  ; 13.35; 13.89;  ;  ;  ;  ;  
2080;MIN de Nantes : fruits et légumes; CHOU FLEUR France couronné cat.I gros (les 6 pièces) ; 13.63; 20.18; 11.60; 9.08; 11.70; 10.49; 11.33; 5.67; 6.50; 10.21; 7.92; 11.11
2081;MIN de Nantes : fruits et légumes bio; CHOU FLEUR France couronné biologique (la pièce) ; 2.69; 3.12; 2.97; 2.74; 3.22; 3.02; 2.53; 1.39; 1.41; 2.12; 1.49; 1.96
2082;MIN de Nice : fruits et légumes; CHOU FLEUR France couronné cat.I (le kg) ; 2.15; 2.20; 2.63; 1.95; 1.94; 2.18; 2.40; 1.80; 1.64; 1.75; 1.77; 1.76
2083;MIN de Nice : fruits et légumes; CHOU FLEUR hors Fr. couronné cat.I (le kg) ;  ; 1.66; 2.78;  ;  ;  ; 2.59; 1.49; 1.35; 1.52; 1.43; 1.66
2084;MIN de Rungis : fruits et légumes 1; CHOU FLEUR Espagne couronné cat.I gros (les 6 pièces) ;  ;  ; 9.00;  ;  ;  ;  ;  ;  ;  ;  ; 10.83
2085;MIN de Rungis : fruits et légumes 1; CHOU FLEUR France couronné cat.I gros (les 6 pièces) ; 13.83; 23.31; 11.86; 9.39; 12.64; 10.68; 12.18; 5.95; 6.45; 10.68; 8.08; 12.09
2086;MIN de Rungis : fruits et légumes bio; CHOU FLEUR France couronné biologique (la pièce) ; 2.63; 3.52; 2.65; 2.66; 2.87; 3.06; 2.50; 1.53; 1.51; 2.08; 1.49; 1.73
2087;MIN de Strasbourg : fruits et légumes; CHOU FLEUR Allemagne couronné cat.I gros (la pièce) ;  ; 2.75; 2.69; 1.92; 2.02;  ; 2.42;  ;  ;  ;  ;  
2088;MIN de Strasbourg : fruits et légumes; CHOU FLEUR France couronné cat.I gros (la pièce) ;  ; 2.62; 2.69; 2.19; 2.21; 2.28; 2.53; 1.59; 1.70; 2.18; 1.91; 2.16
2089;MIN de Strasbourg : fruits et légumes bio; CHOU FLEUR France couronné biologique (la pièce) ;  ;  ;  ;  ;  ;  ; 3.08; 2.01; 2.12; 2.38; 2.23; 2.43
2090;MIN de Toulouse : fruits et légumes; CHOU FLEUR Espagne couronné cat.I gros (les 6 pièces) ;  ; 18.40; 13.00;  ;  ;  ; 11.62; 6.12; 7.10; 9.50; 6.37; 11.02
2091;MIN de Toulouse : fruits et légumes; CHOU FLEUR France couronné cat.I gros (les 6 pièces) ; 15.22; 20.00; 12.17; 8.50; 11.25; 11.39; 12.61; 7.02; 8.07; 11.44; 8.81; 12.40
2092;Bio magasins spécialisés (DRIVE); CHOU FLEUR France couronné biologique (la pièce) ;  ;  ;  ;  ;  ;  ;  ; 2.87; 2.70; 3.13; 2.99; 2.93
2093;Légumes France DETAIL GMS; CHOU FLEUR France (la pièce) ;  ;  ;  ;  ;  ;  ; 3.16; 1.86; 2.04; 2.47; 2.40; 2.65
2094;Légumes France DETAIL GMS; CHOU FLEUR France biologique (la pièce) ;  ;  ;  ;  ;  ;  ; 3.56; 3.40; 3.13; 3.21; 3.01; 3.14
2095;Marché de Lyon-Corbas carreau : fruits et légumes; POIVRON rouge Rhône-Alpes cat.I gros (le kg) ;  ;  ;  ; 2.30; 2.20; 2.23; 2.20;  ;  ;  ;  ;  
2096;Marché de Lyon-Corbas carreau : fruits et légumes; POIVRON vert carré Rhône-Alpes cat.I gros (le kg) ;  ;  ; 2.27; 1.88; 1.73; 1.68; 1.46;  ;  ;  ;  ;  
2097;Marché de Perpignan carreau : fruits et légumes; POIVRON rouge Roussillon (le kg) ;  ;  ; 3.50; 3.50; 3.30; 2.54; 2.50; 2.25; 2.00;  ;  ;  
2098;Marché de Perpignan carreau : fruits et légumes; POIVRON vert long Roussillon (le kg) ;  ;  ;  ;  ; 2.23; 2.30; 2.30;  ;  ;  ;  ;  
2099;Marché de Perpignan carreau : fruits et légumes; POIVRON vert Roussillon (le kg) ;  ; 3.50; 3.50; 3.50; 3.25; 2.50; 2.50;  ;  ;  ;  ;  
2100;MIN d'Agen carreau : fruits et légumes; POIVRON Corne de boeuf Sud-Ouest cat.I moyen plateau (le kg) ;  ;  ;  ; 1.60; 1.54; 1.44; 1.34;  ;  ;  ;  ;  
2101;MIN d'Agen carreau : fruits et légumes; POIVRON rouge carré Sud-Ouest cat.I 90-110mm cagette (le kg) ;  ;  ;  ;  ; 1.57; 1.75; 1.50;  ;  ;  ;  ;  
2102;MIN d'Agen carreau : fruits et légumes; POIVRON vert carré Sud-Ouest 70-90mm (le kg) ;  ;  ;  ; 1.45; 1.48; 1.50; 1.36; 1.65;  ;  ;  ;  
2103;MIN de Cavaillon carreau : fruits et légumes; POIVRON rouge carré Sud-Est plateau (le kg) ;  ;  ; 3.80; 3.02; 2.50; 2.55; 2.10; 2.00; 2.00;  ;  ;  
2104;MIN de Cavaillon carreau : fruits et légumes; POIVRON vert carré Sud-Est plateau (le kg) ;  ;  ; 2.55; 2.12; 2.05; 1.80; 1.74; 1.50; 1.50;  ;  ;  
2105;MIN de Châteaurenard carreau : fruits et légumes; POIVRON rouge carré Sud-Est plateau (le kg) ;  ; 4.00; 3.79; 2.73; 2.53; 2.58; 2.50;  ;  ;  ;  ;  
2106;MIN de Châteaurenard carreau : fruits et légumes; POIVRON rouge Sud-Est cat.II vrac (le kg) ;  ;  ;  ;  ;  ; 1.30; 1.28; 1.10;  ;  ;  ;  
2107;MIN de Châteaurenard carreau : fruits et légumes; POIVRON vert carré Sud-Est plateau (le kg) ;  ; 2.85; 2.35; 2.05; 2.12; 1.95; 1.59;  ;  ;  ;  ;  
2108;MIN de Châteaurenard carreau : fruits et légumes; POIVRON vert Sud-Est cat.II vrac (le kg) ;  ;  ;  ;  ;  ; 0.90; 0.86; 0.75;  ;  ;  ;  
2109;Bassin Centre-Ouest : fruits et légumes; POIVRON vert Centre-Ouest cat.I plateau (le kg) ;  ;  ; 2.20; 1.90; 1.80; 1.70; 1.42;  ;  ;  ;  ;  
2110;Bassins Sud-Est et Roussillon : fruits et légumes bio; POIVRON jaune Méditerranée biologique (le kg) ;  ;  ;  ;  ;  ;  ;  ; 3.65;  ;  ;  ;  
2111;Bassins Sud-Est et Roussillon : fruits et légumes bio; POIVRON rouge Méditerranée biologique (le kg) ;  ;  ;  ; 3.71; 3.39; 3.46; 3.16; 3.60;  ;  ;  ;  
2112;Bassins Sud-Est et Roussillon : fruits et légumes bio; POIVRON vert Méditerranée biologique (le kg) ;  ;  ;  ; 2.64; 2.40; 2.24; 2.53; 2.12;  ;  ;  ;  
2113;Bassin Sud-Ouest : fruits et légumes autres; POIVRON vert carré Sud-Ouest sous-abri cat.I 90-110mm plateau (le kg) ;  ; 1.75; 1.76; 1.68; 1.67; 1.56; 1.20;  ;  ;  ;  ;  
2114;France : fruits et légumes bio - expédition; POIVRON France biologique (le kg) ;  ; 4.41; 3.69; 3.12; 2.73; 2.81; 2.78; 2.87; 2.26;  ;  ;  
2115;France : fruits et légumes bio - import; POIVRON jaune Espagne biologique cat.I (le kg) ; 4.29; 3.45; 3.13; 2.23; 3.11; 2.94; 2.35; 1.96; 2.78; 3.46; 3.44; 4.54
2116;France : fruits et légumes bio - import; POIVRON rouge Espagne biologique cat.I (le kg) ; 4.45; 3.81; 3.12; 2.27; 2.92; 2.89; 2.49; 1.98; 2.77; 3.12; 2.91; 4.45
2117;France : fruits et légumes bio - import; POIVRON vert Espagne biologique cat.I (le kg) ; 3.33; 3.35; 2.84; 2.13; 2.45; 2.42; 2.08; 1.76; 2.46; 2.94; 2.83; 3.49
2118;Marché de St-Charles : fruits et légumes - import; POIVRON jaune carré Espagne cat.I 90-110mm (le kg) ; 2.52; 1.44; 1.28; 1.09; 1.55; 1.50; 1.15; 1.15; 1.18; 1.41; 1.47; 3.16
2119;Marché de St-Charles : fruits et légumes - import; POIVRON rouge carré Espagne cat.I 90-110mm (le kg) ; 2.62; 1.92; 1.44; 1.13; 1.50; 1.55; 1.14; 1.25; 1.21; 1.33; 1.39; 2.90
2120;Marché de St-Charles : fruits et légumes - import; POIVRON rouge long Espagne cat.I (le kg) ; 2.57; 2.19; 1.35; 1.09; 1.15; 1.36; 1.00;  ;  ;  ;  ;  
2121;Marché de St-Charles : fruits et légumes - import; POIVRON vert carré Espagne cat.I 90-110mm (le kg) ; 1.74; 1.83; 1.43; 1.12; 1.50; 1.37; 1.14; 1.14; 1.18; 1.44; 1.55; 1.88
2122;Marché de St-Charles : fruits et légumes - import; POIVRON vert long Espagne cat.I (le kg) ; 1.71; 1.64; 1.30; 1.00; 1.05; 1.16; 1.05;  ;  ;  ;  ;  
2123;Marché de St-Charles : fruits et légumes - import; POIVRON vert long Maroc cat.I 40-60mm (le kg) ; 1.16; 0.81; 0.81; 0.66;  ;  ; 0.68; 0.58; 0.57; 0.72; 0.71; 0.65
2124;Marché de St-Charles : fruits et légumes - import; POIVRON vert long Maroc cat.I 50-70mm (le kg) ; 1.27; 0.91; 0.91; 0.76;  ;  ; 0.73; 0.68; 0.67; 0.90; 0.74; 1.07
2125;Pays-Bas : fruits et légumes; POIVRON jaune carré Pays-Bas de serre cat.I 80-100mm colis 5kg (le kg) ;  ;  ; 1.70;  ; 2.02;  ; 1.15;  ;  ;  ;  ;  
2126;Pays-Bas : fruits et légumes; POIVRON orange carré Pays-Bas de serre cat.I 80-100mm colis 5kg (le kg) ;  ;  ; 2.08;  ; 2.18;  ; 2.15;  ;  ;  ;  ;  
2127;Pays-Bas : fruits et légumes; POIVRON rouge carré Pays-Bas de serre cat.I 80-100mm colis 5kg (le kg) ;  ;  ; 1.65;  ; 1.76;  ; 1.15;  ;  ;  ;  ;  
2128;Pays-Bas : fruits et légumes; POIVRON vert carré Pays-Bas de serre cat.I 80-100mm colis 5kg (le kg) ;  ;  ; 1.62;  ; 2.37;  ; 1.15;  ;  ;  ;  ;  
2129;France : fruits et légumes bio - grossistes; POIVRON France biologique (le kg) ;  ; 4.71; 4.20; 3.59; 3.54; 3.56; 3.38; 2.95; 2.68;  ;  ;  
2130;France : fruits et légumes bio - grossistes; POIVRON U.E. biologique moyen (le kg) ; 4.11; 3.79; 3.59; 2.79; 2.95; 3.11; 2.71; 2.47; 2.74; 3.33; 3.36; 3.74
2131;Marché de Bologne : fruits et légumes; POIVRON jaune carré Espagne cat.I gros (le kg) ; 2.85; 2.43;  ;  ; 1.50; 2.25; 1.73; 1.52; 1.50; 1.95; 2.08;  
